artifact_id,museum_no,designation,publications_key,publications_type,publications_exact_ref,publications_comment,provenience,period,dates,collections,genres,materials,artifact_type,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,condition_description,artifact_preservation,languages,written_in,archive,composite_no,composites,seal_no,seals,accession_no,cdli_comments,artifact_comments,provenience_comments,is_provenience_uncertain,period_comments,is_period_uncertain,artifact_type_comments,is_artifact_type_uncertain,seal_information,is_school_text,alternative_years,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
8001,"Sb 15075","MDP 06, 201",Scheil1905MDP6,primary,201,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,75.0,27.0,61.0,,,,,,,Good,,complete,undetermined,,,,,,,,,,,0,,0,,0,,0,,ARMEP,X008001," ",0,0,,,0,0,0,0,,
8002,"Sb 15076","MDP 06, 202",Scheil1905MDP6,primary,202,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,67.0,14.0,44.0,,,,,,,Good,,75%,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
8003,"Sb 15077","MDP 06, 203",Scheil1905MDP6,primary,203,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,68.0,16.0,51.0,,,,,,,Excellent,,complete,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
8004,"Sb 15078","MDP 06, 204",Scheil1905MDP6,primary,204,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
8005,"Sb 15079","MDP 06, 205",Scheil1905MDP6,primary,205,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,53.0,16.0,34.0,,,,,,,Excellent,,complete,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
8006,"Sb 06395","MDP 06, 206",Scheil1905MDP6,primary,206,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
8007,"Sb 06405","MDP 06, 207",Scheil1905MDP6,primary,207,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,63.0,18.0,45.0,,,,,,,Good,,50%,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
8008,"Sb 15080","MDP 06, 208",Scheil1905MDP6,primary,208,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,67.0,23.0,45.0,,,,,,,Fair,,fragment,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
8009,"Sb 15458","MDP 06, 209",Scheil1905MDP6,primary,209,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,45.0,16.0,36.0,,,,,,,Excellent,,complete,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
8010,"Sb 15081","MDP 06, 210",Scheil1905MDP6,primary,210,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,59.0,16.0,50.0,,,,,,,Good,,complete,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
