artifact_id,museum_no,designation,publications_key,publications_type,publications_exact_ref,publications_comment,provenience,period,dates,collections,genres,materials,artifact_type,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,condition_description,artifact_preservation,languages,written_in,archive,composite_no,composites,seal_no,seals,accession_no,cdli_comments,artifact_comments,provenience_comments,is_provenience_uncertain,period_comments,is_period_uncertain,artifact_type_comments,is_artifact_type_uncertain,seal_information,is_school_text,alternative_years,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
3,"VAT 15253","ATU 3, pl. 081, W 9123,d","Englund1993ATU3; Falkenstein1936ATU1","primary; history","pl. 81, W 9123,d; 539","42x53x19 - Vocabulary 9 - Qa XVI,2, unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels (t.a.q. IIIc) - veröffentlicht in: ATU 1, 539 - bereits kommentiert von A. Falkenstein, UVB 3, 12 und ATU 1, S. 43-45.; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Vocabularies,clay,tablet,42.0,19.0,53.0,,,"W 09123,d","Qa XVI,2","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// (t.a.q. IIIc)",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,"DCCLT; ARMEP","P000003; P000003","""Archaic Vocabulary (witness) Text category: 15-09; Foreign ID: LVO 9""",0,0,,,0,0,0,0,,
4,"VAT 15168","CDLI Lexical 000002, ex. 051","Englund1993ATU3; Falkenstein1936ATU1","history; history","pl. 9, W 9169,d; 489","; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",00.00.00.00,"Vorderasiatisches Museum, Berlin, Germany",Lexical,clay,tablet,26.0,23.0,23.0,,,"W 09169,d","Qa XVI,2","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// (t.a.q. IIIc)",,,,,undetermined,,,,Q000002,,,,,,,0,,0,,0,,0,,"DCCLT; ARMEP","P000004; P000004","Archaic Lu2 A (witness) ",0,0,,,0,0,0,0,,
5,"VAT 15153","CDLI Lexical 000002, ex. 172","Englund1993ATU3; Falkenstein1936ATU1","history; history","pl. 23, W 9206,k; 390","; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",00.00.00.00,"Vorderasiatisches Museum, Berlin, Germany",Lexical,clay,tablet,29.0,20.0,36.0,,,"W 09206,k","Qa XVI,2","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// (t.a.q. IIIc)",,,,,undetermined,,,,Q000002,,,,,,,0,,0,,0,,0,,"DCCLT; ARMEP","P000005; P000005","Archaic Lu2 A (witness) ",0,0,,,0,0,0,0,,
6,"VAT 15003","CDLI Lexical 000002, ex. 173","Englund1993ATU3; Falkenstein1936ATU1; Nissen1991FrüheSchrift; sec12; Woods2010writing","history; history; history; history; history","pl. 23, W 9656,h1; 340; p. 153, no. 16.1; ; 074","; ; ; ; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",00.00.00.00,"Vorderasiatisches Museum, Berlin, Germany",Lexical,clay,tablet,82.0,19.0,62.0,,,"W 09656,h1","Qa XVI,2","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// (t.a.q. IIIc)",,,,,undetermined,,,,Q000002,,,,,,,0,,0,,0,,0,,"DCCLT; ARMEP","P000006; P000006","Archaic Lu2 A (witness) ",0,0,,,0,0,0,0,,
7,"VAT 15111","CDLI Lexical 000002, ex. 174","Englund1993ATU3; Falkenstein1936ATU1","history; history","pl. 23, W 9656,x; 522","; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",00.00.00.00,"Vorderasiatisches Museum, Berlin, Germany",Lexical,clay,tablet,56.0,29.0,36.0,,,"W 09656,x","Qa XVI,2","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// (t.a.q. IIIc)",,,,,undetermined,,,,Q000002,,,,,,,0,,0,,0,,0,,"DCCLT; ARMEP","P000007; P000007","Archaic Lu2 A (witness) ",0,0,,,0,0,0,0,,
121,"VAT 16731","CDLI Lexical Archaic Unidentified, ex. 024",Englund1993ATU3,history,"pl. 87, W 15920,a4",,"Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Lexical,clay,tablet,70.0,17.0,45.0,,,"W 15920,a4","Pa XVII,1","zwischen III und IV",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,"DCCLT; ARMEP","P000121; P000121","Archaic Unidentified (witness) ",0,0,,,0,0,0,0,,
131,"IM —","CDLI Lexical 000026, ex. 045",Englund1993ATU3,history,"pl. 74, W 16621,a",,"Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",00.00.00.00,"National Museum of Iraq, Baghdad, Iraq",Lexical,clay,tablet,39.0,0.0,89.0,,,"W 16621,a","Pb XVI,3","aus den Lehmziegeln von III  +19.45 m",,,,,undetermined,,,,Q000026,,,,,,,0,,0,,0,,0,,"DCCLT; ARMEP","P000131; P000131","Archaic Metal (witness) ",0,0,,,0,0,0,0,,
448,"IM 134357","CDLI Lexical 000002, ex. 170",Englund1993ATU3,history,"pl. 23, W 20421,1",,"Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",00.00.00.00,"National Museum of Iraq, Baghdad, Iraq",Lexical,clay,tablet,82.0,29.0,57.0,,,"W 20421,1","Nc XVI,4/5","im Schutt der Hofauffüllung, dicht unter Backsteinstufe",,,,,undetermined,,,,Q000002,,,,,,,0,,0,,0,,0,,"DCCLT; ARMEP","P000448; P000448","Archaic Lu2 A (witness) ",0,0,,,0,0,0,0,,
449,"IM 134358","CDLI Lexical 000002, ex. 171",Englund1993ATU3,history,"pl. 23, W 20421,2",,"Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",00.00.00.00,"National Museum of Iraq, Baghdad, Iraq",Lexical,clay,tablet,54.0,30.0,36.0,,,"W 20421,2","Nc XVI,4/5","im Schutt der Hofauffüllung, dicht unter Backsteinstufe",,,,,undetermined,,,,Q000002,,,,,,,0,,0,,0,,0,,"DCCLT; ARMEP","P000449; P000449","Archaic Lu2 A (witness) ",0,0,,,0,0,0,0,,
493,"IM 074286","CDLI Lexical 000023, ex. 093","Englund1993ATU3; Green1987ATU2","history; history","pl. 67, W 21060,5+; pl. 16","; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",00.00.00.00,"National Museum of Iraq, Baghdad, Iraq",Lexical,clay,tablet,,,,,,"W 21060,05 + W 21060,06 ?","Oc XVI,3","Sammelfund aus NO-Trakt Tempel C, in dem Raum, der den rechten Arm des T-förmigen Hofes bildet, an der rechten Ecke des Durchganges zum Kopftrakt, unmittelbar am Fuß der Mauer. Tiefer als die noch anstehenden Riemchen, aber noch nicht von der Brandschutts",,,,,undetermined,,,,Q000023,,,,,,,0,,0,,0,,0,,"DCCLT; ARMEP","P000493; P000493","Archaic Vessels and Garments (witness) ",0,0,,,0,0,0,0,,
495,"IM 134691","CDLI Lexical 000023, ex. 092",Englund1993ATU3,history,"pl. 67, W 21060,16",,"Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",00.00.00.00,"National Museum of Iraq, Baghdad, Iraq",Lexical,clay,tablet,53.0,45.0,62.0,,,"W 21060,16","Oc XVI,3","Sammelfund aus NO-Trakt Tempel C, in dem Raum, der den rechten Arm des T-förmigen Hofes bildet, an der rechten Ecke des Durchganges zum Kopftrakt, unmittelbar am Fuß der Mauer. Tiefer als die noch anstehenden Riemchen, aber noch nicht von der Brandschutts",,,,,undetermined,,,,Q000023,,,,,,,0,,0,,0,,0,,"DCCLT; ARMEP","P000495; P000495","Archaic Vessels and Garments (witness) ",0,0,,,0,0,0,0,,
730,"VAT 15316","ATU 5, pl. 001, W 1872,1","Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 1, W 1872,1; 511","57x27x29 - Od XV,5, below the level with pisé foundations - ATU 1, 511 - 4.12.1928 - on the tablet only the excavation number ""1972,d[  ]"" discernable - according to the register of the DAI-Baghdad (and see ATU 1, p. 72), however, this and the following tablet; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Administrative,clay,tablet,57.0,29.0,27.0,,,"W 01872,1","Od XV,5","unter der Schicht, in der das Fundament gestampft ist",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
